gene_id	gene_symbol	variance
ENSG00000163993.7	S100P	5.631244402139117
ENSG00000175899.14	A2M	5.628766110729256
ENSG00000163421.9	PROK2	5.62327314551428
ENSG00000267303.1	AC011511.4	5.622559624285877
ENSG00000259207.7	ITGB3	5.622006706669234
ENSG00000113657.13	DPYSL3	5.618613742419662
ENSG00000133026.12	MYH10	5.612213682560149
ENSG00000197976.12	AKAP17A	5.607174692295869
ENSG00000276966.2	HIST1H4E	5.596803050781964
ENSG00000125740.14	FOSB	5.590113746882842
ENSG00000197632.9	SERPINB2	5.575720809873625
ENSG00000180596.7	HIST1H2BC	5.562829231884158
ENSG00000172322.14	CLEC12A	5.5613895220763405
ENSG00000122786.20	CALD1	5.552669414803875
ENSG00000109321.11	AREG	5.547222806886216
ENSG00000008394.13	MGST1	5.521930322612691
ENSG00000103569.9	AQP9	5.517599337336624
ENSG00000129226.14	CD68	5.508647427177598
ENSG00000204010.3	IFIT1B	5.508120106599907
ENSG00000005961.18	ITGA2B	5.506722808763605
ENSG00000172247.4	C1QTNF4	5.492352596055129
ENSG00000011465.17	DCN	5.472044292864786
ENSG00000000938.13	FGR	5.472018148343065
ENSG00000162367.11	TAL1	5.459963416099783
ENSG00000100320.23	RBFOX2	5.435819235241029
ENSG00000275713.2	HIST1H2BH	5.426857673802318
ENSG00000274997.1	HIST1H2AH	5.4239446839748435
ENSG00000273983.1	HIST1H3G	5.421892770983765
ENSG00000185130.5	HIST1H2BL	5.3963619515149315
ENSG00000188404.9	SELL	5.39308597953499
ENSG00000203814.6	HIST2H2BF	5.392343219738421
ENSG00000179583.19	CIITA	5.386320037229278
ENSG00000169184.6	MN1	5.377637575340429
ENSG00000188906.16	LRRK2	5.35551016134306
ENSG00000163751.4	CPA3	5.344760093241045
ENSG00000124491.15	F13A1	5.342775534844
ENSG00000118520.14	ARG1	5.34030200460822
ENSG00000153283.12	CD96	5.338797056357445
ENSG00000184270.5	HIST2H2AB	5.335745809850078
ENSG00000186407.7	CD300E	5.3333100825100175
ENSG00000169439.12	SDC2	5.326710665860987
ENSG00000110092.3	CCND1	5.3216845406010025
ENSG00000166681.13	BEX3	5.3171150728289
ENSG00000103855.18	CD276	5.315469710923861
ENSG00000139329.5	LUM	5.301752786081094
ENSG00000188643.11	S100A16	5.297391927079307
ENSG00000163736.4	PPBP	5.293805141893811
ENSG00000169855.20	ROBO1	5.288789709166225
ENSG00000276644.5	DACH1	5.282067011815743
ENSG00000128040.11	SPINK2	5.27858097612973
ENSG00000176788.9	BASP1	5.257920837093683
ENSG00000184226.15	PCDH9	5.256950443140782
ENSG00000198848.12	CES1	5.253612091439378
ENSG00000182162.11	P2RY8	5.253364820986326
ENSG00000133069.17	TMCC2	5.2484790187239625
ENSG00000105472.13	CLEC11A	5.248320372435747
ENSG00000073756.12	PTGS2	5.240266920591452
ENSG00000166825.14	ANPEP	5.239141144189939
ENSG00000162849.16	KIF26B	5.234725998409079
ENSG00000176887.7	SOX11	5.231276231954156
ENSG00000147180.16	ZNF711	5.229702264507077
ENSG00000157404.15	KIT	5.226406786533113
ENSG00000144893.12	MED12L	5.224411498361426
ENSG00000091136.14	LAMB1	5.22441043992143
ENSG00000104341.16	LAPTM4B	5.223432915877884
ENSG00000077984.6	CST7	5.219674288950703
ENSG00000188153.13	COL4A5	5.21958541970753
ENSG00000198692.10	EIF1AY	5.213539727705347
ENSG00000134323.12	MYCN	5.210316541141899
ENSG00000159217.10	IGF2BP1	5.206781864237765
ENSG00000232653.8	GOLGA8N	5.2033258689986255
ENSG00000154277.12	UCHL1	5.203013279301465
ENSG00000118785.14	SPP1	5.19925755924573
ENSG00000204103.4	MAFB	5.197455647736267
ENSG00000008516.17	MMP25	5.196965224696618
ENSG00000240184.7	PCDHGC3	5.185955572654243
ENSG00000134827.8	TCN1	5.173967397768247
ENSG00000169403.12	PTAFR	5.172003252795447
ENSG00000158856.18	DMTN	5.171090096134311
ENSG00000115457.10	IGFBP2	5.16780458158047
ENSG00000203710.11	CR1	5.1513543097238985
ENSG00000133246.12	PRAM1	5.147549859189546
ENSG00000138795.10	LEF1	5.140220251108956
ENSG00000142089.16	IFITM3	5.130849504897851
ENSG00000049323.16	LTBP1	5.118317525442932
ENSG00000078596.11	ITM2A	5.117056430150427
ENSG00000152661.9	GJA1	5.116998869104266
ENSG00000185551.15	NR2F2	5.114478306584443
ENSG00000099250.18	NRP1	5.113069734843969
ENSG00000106484.15	MEST	5.110130706990826
ENSG00000158517.14	NCF1	5.107295556250658
ENSG00000198695.2	MT-ND6	5.103993751444081
ENSG00000138772.13	ANXA3	5.1032110372694435
ENSG00000166349.9	RAG1	5.096448786881692
ENSG00000163191.6	S100A11	5.095385899108854
ENSG00000019991.18	HGF	5.092873441534477
ENSG00000137285.10	TUBB2B	5.088979768423991
ENSG00000196684.12	HSH2D	5.084193998972979
ENSG00000111057.11	KRT18	5.078938516504104
ENSG00000170558.9	CDH2	5.078839677391527
ENSG00000140678.16	ITGAX	5.07882062018536
ENSG00000117519.16	CNN3	5.076182895440641
ENSG00000101439.9	CST3	5.0715785104234845
ENSG00000138080.13	EMILIN1	5.070283396329293
ENSG00000204262.14	COL5A2	5.068175781246586
ENSG00000173546.7	CSPG4	5.060801823649657
ENSG00000143248.13	RGS5	5.055029080281475
ENSG00000135046.14	ANXA1	5.050676943853941
ENSG00000197471.12	SPN	5.0375735789367075
ENSG00000134184.12	GSTM1	5.036452219791203
ENSG00000169994.18	MYO7B	5.025850691137746
ENSG00000143776.18	CDC42BPA	5.02503451574762
ENSG00000164330.17	EBF1	5.016784976002976
ENSG00000138722.10	MMRN1	4.996629624000027
ENSG00000140287.11	HDC	4.996611310863351
ENSG00000258227.7	CLEC5A	4.99422816469541
ENSG00000115956.10	PLEK	4.99041067732906
ENSG00000278588.1	HIST1H2BI	4.990150533622552
ENSG00000221869.4	CEBPD	4.982408351099029
ENSG00000101307.15	SIRPB1	4.978336359514804
ENSG00000170476.15	MZB1	4.973746700091118
ENSG00000276903.1	HIST1H2AL	4.960202420180611
ENSG00000110492.15	MDK	4.951640212978869
ENSG00000257017.8	HP	4.946047927682983
ENSG00000067141.17	NEO1	4.939348523628835
ENSG00000166428.13	PLD4	4.918280024377011
ENSG00000172995.16	ARPP21	4.910781813233571
ENSG00000011600.11	TYROBP	4.896007805290637
ENSG00000164929.17	BAALC	4.891477644492035
ENSG00000070087.14	PFN2	4.890749033070142
ENSG00000162711.17	NLRP3	4.889650074724029
ENSG00000120833.14	SOCS2	4.889430431524383
ENSG00000079102.16	RUNX1T1	4.88767676358528
ENSG00000125869.10	LAMP5	4.886237685915716
ENSG00000196562.14	SULF2	4.878561517730652
ENSG00000075340.23	ADD2	4.876441610994161
ENSG00000074657.13	ZNF532	4.870005736844672
ENSG00000117318.9	ID3	4.853251765792036
ENSG00000184792.16	OSBP2	4.846886804191021
ENSG00000127951.7	FGL2	4.844326662483262
ENSG00000136286.16	MYO1G	4.842581132407644
ENSG00000204287.14	HLA-DRA	4.82334330366871
ENSG00000162599.17	NFIA	4.821653623016818
ENSG00000141756.18	FKBP10	4.820832581086283
ENSG00000164111.15	ANXA5	4.81829384286365
ENSG00000245848.3	CEBPA	4.817738184214627
ENSG00000231389.7	HLA-DPA1	4.807809729880854
ENSG00000182168.15	UNC5C	4.802374293305918
ENSG00000055118.14	KCNH2	4.798346305922402
ENSG00000060558.3	GNA15	4.791333114459114
ENSG00000275379.1	HIST1H3I	4.7886485526326865
ENSG00000172243.17	CLEC7A	4.781826856870163
ENSG00000105997.22	HOXA3	4.779604576351757
ENSG00000156298.12	TSPAN7	4.778082120444673
ENSG00000135636.14	DYSF	4.774794246256827
ENSG00000112769.19	LAMA4	4.769141807294017
ENSG00000138829.12	FBN2	4.76866391395705
ENSG00000141753.7	IGFBP4	4.767493223540405
ENSG00000110077.14	MS4A6A	4.763474480213641
ENSG00000184937.14	WT1	4.761871107284684
ENSG00000204388.7	HSPA1B	4.761553841649454
ENSG00000278828.1	HIST1H3H	4.7600096128390375
ENSG00000152767.16	FARP1	4.75973112494433
ENSG00000196787.3	HIST1H2AG	4.752156970886453
ENSG00000197747.9	S100A10	4.74324421400215
ENSG00000117115.13	PADI2	4.739029362664008
ENSG00000180592.16	SKIDA1	4.731857873455268
ENSG00000076706.17	AP002956.1	4.726393996403683
ENSG00000125538.11	IL1B	4.711727198327155
ENSG00000110799.13	VWF	4.709226948557166
ENSG00000104267.10	CA2	4.697386666140649
ENSG00000152078.10	TMEM56	4.690297476380406
ENSG00000127152.18	BCL11B	4.686096915859618
ENSG00000177575.12	CD163	4.6839391935444965
ENSG00000116701.14	NCF2	4.681824172034139
ENSG00000105426.16	PTPRS	4.68105047372322
ENSG00000239998.6	LILRA2	4.675119959538144
ENSG00000169604.19	ANTXR1	4.67343201324531
ENSG00000251322.8	SHANK3	4.668263091570433
ENSG00000196735.11	HLA-DQA1	4.660718003964084
ENSG00000077942.19	FBLN1	4.6549334778055576
ENSG00000105369.9	CD79A	4.6537262168710605
ENSG00000012779.11	ALOX5	4.652946052920146
ENSG00000047597.7	XK	4.641197998218466
ENSG00000141526.16	SLC16A3	4.639546286369607
ENSG00000182578.13	CSF1R	4.639378548591136
ENSG00000150760.12	DOCK1	4.636846258095198
ENSG00000204613.11	TRIM10	4.626189406844332
ENSG00000154096.13	THY1	4.626169306543034
ENSG00000204389.9	HSPA1A	4.613377433430347
ENSG00000072832.14	CRMP1	4.609446841859944
ENSG00000135218.19	CD36	4.6075185979022
ENSG00000173868.11	PHOSPHO1	4.606815774319737
ENSG00000149257.14	SERPINH1	4.600260645864185
ENSG00000162747.11	FCGR3B	4.598922082137523
ENSG00000130529.16	TRPM4	4.593677402001051
ENSG00000130300.9	PLVAP	4.591590420132061
ENSG00000111052.7	LIN7A	4.589526099917275
ENSG00000020181.17	ADGRA2	4.586612791935778
ENSG00000136193.17	SCRN1	4.58330715717395
ENSG00000172543.8	CTSW	4.5827625992157515
ENSG00000159307.19	SCUBE1	4.5769524693660335
ENSG00000169442.9	CD52	4.573737063779045
ENSG00000136689.18	IL1RN	4.5725316809441505
ENSG00000148468.17	FAM171A1	4.57186453511251
ENSG00000037280.16	FLT4	4.571486052656212
ENSG00000164741.15	DLC1	4.567423676849096
ENSG00000242550.6	SERPINB10	4.564837924951663
ENSG00000095932.6	SMIM24	4.562869033718799
ENSG00000204099.11	NEU4	4.558703154144856
ENSG00000106006.6	HOXA6	4.558292313706681
ENSG00000158825.6	CDA	4.558174254554189
ENSG00000100427.15	MLC1	4.553994551874548
ENSG00000121552.4	CSTA	4.551271614130659
ENSG00000019582.15	CD74	4.5464085496169195
ENSG00000144668.12	ITGA9	4.546299811604588
ENSG00000149948.13	HMGA2	4.544855846123959
ENSG00000106624.11	AEBP1	4.541799582097109
ENSG00000138650.9	PCDH10	4.537069897209533
ENSG00000168461.13	RAB31	4.534258985596854
ENSG00000152495.11	CAMK4	4.534162520044115
ENSG00000134531.10	EMP1	4.533190587428443
ENSG00000149131.15	SERPING1	4.533074134962849
ENSG00000132688.11	NES	4.53185559366227
ENSG00000109472.14	CPE	4.529123403686345
ENSG00000198829.6	SUCNR1	4.526791762611396
ENSG00000101162.3	TUBB1	4.5232767239895475
ENSG00000140937.14	CDH11	4.522816044816734
ENSG00000174099.11	MSRB3	4.5215631444844115
ENSG00000145335.15	SNCA	4.510132686049807
ENSG00000144724.20	PTPRG	4.507512404843838
ENSG00000176076.7	KCNE5	4.505021452782352
ENSG00000142347.18	MYO1F	4.503809526791438
ENSG00000170689.10	HOXB9	4.501105507892441
ENSG00000103313.12	MEFV	4.500353024602636
ENSG00000101445.10	PPP1R16B	4.4952916399685625
ENSG00000148498.16	PARD3	4.48910773159527
ENSG00000272636.4	DOC2B	4.483021682413902
ENSG00000164684.13	ZNF704	4.482867374928686
ENSG00000042062.12	RIPOR3	4.482316943202044
ENSG00000130821.16	SLC6A8	4.477562856845737
ENSG00000105610.5	KLF1	4.4743764685258
ENSG00000133110.15	POSTN	4.472124977862518
ENSG00000227051.6	C14orf132	4.467960677750603
ENSG00000154188.10	ANGPT1	4.464924329062841
ENSG00000124006.15	OBSL1	4.458097147048376
ENSG00000258947.7	TUBB3	4.454445304526107
ENSG00000185862.7	EVI2B	4.451853292435702
ENSG00000153707.17	PTPRD	4.447566074421077
ENSG00000196358.11	NTNG2	4.444796609642659
ENSG00000171777.16	RASGRP4	4.434301888746237
ENSG00000134369.15	NAV1	4.430873576345031
ENSG00000140379.8	BCL2A1	4.430222367033132
ENSG00000007038.11	PRSS21	4.426013822574855
ENSG00000133101.10	CCNA1	4.4155663643879794
ENSG00000061676.15	NCKAP1	4.415128373666361
ENSG00000102935.11	ZNF423	4.407509473874327
ENSG00000196126.11	HLA-DRB1	4.4036658005629725
ENSG00000158869.11	FCER1G	4.403599193989703
ENSG00000109906.13	ZBTB16	4.401733065687175
ENSG00000112303.14	VNN2	4.4016515930699285
ENSG00000234906.10	APOC2	4.396668266322149
ENSG00000155966.13	AFF2	4.392723621397402
ENSG00000170891.11	CYTL1	4.390099101729178
ENSG00000182557.8	SPNS3	4.389888098956727
ENSG00000135052.16	GOLM1	4.389441006430572
ENSG00000010610.10	CD4	4.384259411038062
ENSG00000142798.20	HSPG2	4.383808592020663
ENSG00000166503.9	HDGFL3	4.378618542822215
ENSG00000187116.13	LILRA5	4.376597046652505
ENSG00000079385.22	CEACAM1	4.375294786783146
ENSG00000183853.18	KIRREL1	4.36766263709554
ENSG00000164125.15	GASK1B	4.366210025960626
ENSG00000126759.13	CFP	4.363926467887696
ENSG00000100097.12	LGALS1	4.360723899943806
ENSG00000010278.14	CD9	4.356837767273791
ENSG00000216490.4	IFI30	4.353453990395928
ENSG00000136842.14	TMOD1	4.3459400819387275
ENSG00000092421.16	SEMA6A	4.3450571860352305
ENSG00000101384.12	JAG1	4.343226406377421
ENSG00000182866.17	LCK	4.342482029940582
ENSG00000182022.18	CHST15	4.335308298026772
ENSG00000104723.20	TUSC3	4.3341598818651645
ENSG00000274290.2	HIST1H2BE	4.330360510198426
ENSG00000099864.18	PALM	4.329579238636877
ENSG00000131042.14	LILRB2	4.32180333952731
ENSG00000069188.17	SDK2	4.319273839552729
ENSG00000146674.15	IGFBP3	4.3190273275803515
ENSG00000168685.15	IL7R	4.312170511744637
ENSG00000127528.5	KLF2	4.310712797796464
ENSG00000006118.14	TMEM132A	4.307127087925676
ENSG00000130294.16	KIF1A	4.306633205664798
ENSG00000165702.14	GFI1B	4.30526547089097
ENSG00000167483.18	FAM129C	4.305152021803529
ENSG00000273802.2	HIST1H2BG	4.304952430131859
ENSG00000134590.13	RTL8C	4.300477739313264
ENSG00000175591.11	P2RY2	4.297312008736703
ENSG00000108405.4	P2RX1	4.293079145691459
ENSG00000240583.12	AQP1	4.292717184497434
ENSG00000151914.20	DST	4.2839432595410845
ENSG00000206557.6	TRIM71	4.280449435205302
ENSG00000115085.13	ZAP70	4.279123470534923
ENSG00000070018.9	LRP6	4.277126135872463
ENSG00000104177.18	MYEF2	4.273628288372747
ENSG00000181631.7	P2RY13	4.273607434950933
ENSG00000090376.10	IRAK3	4.273269536403939
ENSG00000178695.5	KCTD12	4.271661765638139
ENSG00000165072.10	MAMDC2	4.270775456178195
ENSG00000136026.14	CKAP4	4.270073535279084
ENSG00000135604.9	STX11	4.269207818451149
ENSG00000130147.16	SH3BP4	4.263316160125337
ENSG00000054793.13	ATP9A	4.2619673771446225
ENSG00000136869.16	TLR4	4.261748453061151
ENSG00000066336.11	SPI1	4.2604910687842095
ENSG00000184545.11	DUSP8	4.2550686902523935
ENSG00000128383.13	APOBEC3A	4.254524807537913
ENSG00000161544.10	CYGB	4.253205358893103
ENSG00000137462.8	TLR2	4.2511520166619885
ENSG00000137959.16	IFI44L	4.246360261724113
ENSG00000118257.16	NRP2	4.235939511918121
ENSG00000126878.13	AIF1L	4.232364604546479
ENSG00000132465.11	JCHAIN	4.231622292115252
ENSG00000139289.13	PHLDA1	4.230189318206088
ENSG00000186818.12	LILRB4	4.228154193304435
ENSG00000214717.12	ZBED1	4.227899651149017
ENSG00000111799.21	COL12A1	4.227279902665734
ENSG00000105967.16	TFEC	4.224585391246994
ENSG00000198938.2	MT-CO3	4.222950185320116
ENSG00000100721.11	TCL1A	4.221397638595783
ENSG00000156575.2	PRG3	4.220534650106439
ENSG00000053438.11	NNAT	4.216830817507446
ENSG00000112299.8	VNN1	4.2155714359591805
ENSG00000128815.19	WDFY4	4.2153483000420735
ENSG00000100504.17	PYGL	4.215066688494505
ENSG00000101210.12	EEF1A2	4.210045434094728
ENSG00000275221.1	HIST1H2AK	4.209656713718339
ENSG00000157110.16	RBPMS	4.207967730408764
ENSG00000106211.9	HSPB1	4.207027587945788
ENSG00000087116.16	ADAMTS2	4.2062293560332975
ENSG00000137265.15	IRF4	4.198229196328368
ENSG00000164398.14	ACSL6	4.196380823314619
ENSG00000118503.15	TNFAIP3	4.193361846559856
ENSG00000067445.20	TRO	4.192512605265251
ENSG00000122592.8	HOXA7	4.1917386700905475
ENSG00000002586.20	CD99	4.189687714708702
ENSG00000162551.14	ALPL	4.186372900613375
ENSG00000197993.9	KEL	4.184873439473007
ENSG00000170909.13	OSCAR	4.180929816744848
ENSG00000107731.12	UNC5B	4.176781526467153
ENSG00000100368.14	CSF2RB	4.175251077632418
ENSG00000183779.7	ZNF703	4.173993685610668
ENSG00000113721.14	PDGFRB	4.165177769813864
ENSG00000173482.16	PTPRM	4.163615487213899
ENSG00000172889.16	EGFL7	4.1628041374725555
ENSG00000135144.7	DTX1	4.162420997458459
ENSG00000110693.18	SOX6	4.160889988942407
ENSG00000277150.1	F8A3	4.1554187623255086
ENSG00000166165.13	CKB	4.1535117850877565
