sample_id	batch	source_group	input_file	diagnosis	UMAP1	UMAP2
TARGET-10-PAKSWW-03A-02R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-2.8321795	22.132406
TARGET-10-PAMXHJ-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-2.837074	22.201792
TARGET-10-PAMXSP-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-2.776284	22.098063
TARGET-10-PANATY-09B-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	3.818075	11.300196
TARGET-10-PANCVR-03A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-2.9265842	22.085327
TARGET-10-PANCVR-04A-02R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-2.9089038	21.667616
TARGET-10-PANDBX-09B-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	3.8958125	11.349947
TARGET-10-PANDWE-03A-02R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-3.284631	20.72532
TARGET-10-PANEUH-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-2.7992089	22.125534
TARGET-10-PANFNZ-03A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-3.3787112	20.731787
TARGET-10-PANGIF-03A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-3.1417224	21.272545
TARGET-10-PANIEU-03A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-2.8025432	22.082853
TARGET-10-PANJPG-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-3.1612077	20.763891
TARGET-10-PANJWJ-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-2.5066636	21.675098
TARGET-10-PANKAK-04A-02R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-2.847539	22.176382
TARGET-10-PANKAK-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-2.9264433	22.236713
TARGET-10-PANKAK-09A-02R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	3.1416252	11.468397
TARGET-10-PANKGK-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-2.4464858	21.727476
TARGET-10-PANKMB-09A-02R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-3.4584527	20.680578
TARGET-10-PANKRG-03A-02R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-3.3797116	20.861979
TARGET-10-PANLGK-03B-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	UNKNOWN	3.671878	11.399546
TARGET-10-PANLIC-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-3.5282893	20.71667
TARGET-10-PANLIC-09A-02R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	3.836502	11.344358
TARGET-10-PANPJI-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-3.3051558	20.756075
TARGET-10-PANRDC-03A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-2.7083862	21.842152
TARGET-10-PANRDC-03A-02R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	2.6975894	11.307203
TARGET-10-PANRWG-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-2.6118968	21.796267
TARGET-10-PANRYM-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-3.4846234	20.673807
TARGET-10-PANSBK-03B-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	3.8008056	11.342079
TARGET-10-PANSBR-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-2.7471125	22.005432
TARGET-10-PANSDA-04A-02R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	-3.3045065	20.654974
