sample_id	original_column	file_project	platform	source_file	missing_fraction	UMAP1	UMAP2
TARGET-20-SJAML045739-09A	TARGET-20-SJAML045739-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	7.4843016	2.8006015
TARGET-00-SJNORM018231-17A.5	TARGET-00-SJNORM018231-17A.5.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	9.566513	2.4110188
TARGET-10-PANYHW-09A	TARGET-10-PANYHW-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	7.974506	3.2298992
TARGET-00-SJNORM016096-14A.4	TARGET-00-SJNORM016096-14A.4.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	8.589785	1.8413962
TARGET-10-PAPGMC-09A	TARGET-10-PAPGMC-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	7.922525	2.6366136
TARGET-15-SJMPAL012427-09A	TARGET-15-SJMPAL012427-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	9.1073885	4.055644
TARGET-20-SJAML016570-09A	TARGET-20-SJAML016570-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	8.181039	3.8853655
TARGET-10-PATGYH-09A	TARGET-10-PATGYH-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	8.366028	2.3499112
TARGET-10-PATBGC-09A	TARGET-10-PATBGC-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	8.5452175	3.033188
TARGET-20-SJAML003322-09A	TARGET-20-SJAML003322-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	8.009308	3.6014261
TARGET-20-SJAML045736-09A	TARGET-20-SJAML045736-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	8.3645935	3.927244
TARGET-10-PAPDCR-09A	TARGET-10-PAPDCR-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	8.238207	3.8752449
TARGET-15-SJMPAL012422-09A	TARGET-15-SJMPAL012422-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	8.831809	3.615515
TARGET-20-SJAML045735-09A	TARGET-20-SJAML045735-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	7.476387	2.5275636
TARGET-15-SJMPAL040037-09A	TARGET-15-SJMPAL040037-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	7.6617246	3.509209
TARGET-15-SJMPAL016343-04A.2	TARGET-15-SJMPAL016343-04A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	8.999773	3.816467
TARGET-10-PASJYI-09A	TARGET-10-PASJYI-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	7.89584	2.4593687
