sample_id	original_column	file_project	platform	source_file	missing_fraction	UMAP1	UMAP2
TARGET-15-SJMPAL016344-09A	TARGET-15-SJMPAL016344-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	10.8820505	1.7530948
TARGET-15-SJMPAL046471-09A.3	TARGET-15-SJMPAL046471-09A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.932694	2.3765006
TARGET-15-SJMPAL040024-09A.2	TARGET-15-SJMPAL040024-09A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.037765	2.3615224
TARGET-15-SJMPAL012421-09A	TARGET-15-SJMPAL012421-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.037946	2.399596
TARGET-10-PAPEWV-09A	TARGET-10-PAPEWV-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.6802435	1.5834794
TARGET-20-SJAML007112-09A	TARGET-20-SJAML007112-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.968351	3.3175526
TARGET-15-SJMPAL012420-09A.1	TARGET-15-SJMPAL012420-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.276377	1.7970351
TARGET-00-SJNORM018231-17A.4	TARGET-00-SJNORM018231-17A.4.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.45167	1.870623
TARGET-10-SJBALL004182-09A.3	TARGET-10-SJBALL004182-09A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.336841	2.7920268
TARGET-15-SJMPAL040037-09A.2	TARGET-15-SJMPAL040037-09A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.501549	2.9485326
TARGET-10-PANKMB-09A	TARGET-10-PANKMB-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.612391	2.6006775
TARGET-10-PASIIY-09A	TARGET-10-PASIIY-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.821622	2.9686844
TARGET-00-SJNORM054698-14A.3	TARGET-00-SJNORM054698-14A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.521055	1.9806429
TARGET-00-SJNORM016314-17A.1	TARGET-00-SJNORM016314-17A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.418215	1.7841988
TARGET-20-SJAML045741-09A	TARGET-20-SJAML045741-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.879172	3.3834848
