id	filename	md5	size	state
63414088-75b3-4c72-9549-02af0fad12a1	9a14c1f7-f3ce-4019-814a-4d82b4e82782.rna_seq.augmented_star_gene_counts.tsv	6fc06b31c9c05ca68cb7cbbcada7cadb	4209471	released
a40619c0-f894-4685-ae6f-77f2302f727b	c0c0c670-ed96-4d28-a40e-98cbe2df3ed1.rna_seq.augmented_star_gene_counts.tsv	c3c07e2f8125fa5e864b01ab6b7b48be	4210304	released
9ea3b453-d293-42d1-abfb-bcbad7207ca7	6fe785e1-cde5-4bd6-8b7c-b9543d53fa6b.rna_seq.augmented_star_gene_counts.tsv	a23efbf24d5cee26303d0429975205c2	4219464	released
e04cf779-6fab-45a0-be8c-646e9c2f29f8	43bb7612-886a-40e8-965b-d2a7fb7f9e7e.rna_seq.augmented_star_gene_counts.tsv	c09db4f5887f811a23447c9923a38582	4220919	released
c6acd156-d0f0-4812-8d7c-f59dc78d51f5	1c0e5c66-48f2-4409-95ec-28cbc649df9f.rna_seq.augmented_star_gene_counts.tsv	bc6d1ce2483d121dbb0691241ec38f92	4221279	released
56a3c8ae-50de-4fd3-b2b7-996a5df20c9e	835b7705-0b1e-42ea-ab88-d0a8472b3c70.rna_seq.augmented_star_gene_counts.tsv	fadc343132bf4bc6f8d4091085bc72cb	4216358	released
4e65e1a6-4ca0-412f-b59b-0c7e34e128a4	ac10d3fb-b3e2-4e49-bc04-ee6aa6b00731.rna_seq.augmented_star_gene_counts.tsv	9d201615d62cc239aaa4a1d2852d7726	4210315	released
5e4ac112-bfc1-45c4-8275-db94c84346d1	b31ff2aa-ffe7-4329-86b0-e505965409e1.rna_seq.augmented_star_gene_counts.tsv	fb42d8743a41eaf9c99ba466dea22e40	4221508	released
eb856ff7-4fc7-4825-94b0-b3153644cef7	07c6fa04-112a-41b6-94c0-1f51e0d9f57e.rna_seq.augmented_star_gene_counts.tsv	d6489e48335155ba6334dbd5f6e0a0ee	4220789	released
2d7fa837-74ff-4f66-840f-1121e3c1fc84	97003bc1-47d4-41b5-b887-625d60d2ca6e.rna_seq.augmented_star_gene_counts.tsv	a5bb1b86876a491a22f5fd386f5cb7de	4208664	released
88f78bc0-761e-4fb3-a766-932a15a1e513	03a19335-9a54-46ae-9d0b-0199b5d332bd.rna_seq.augmented_star_gene_counts.tsv	f23bdd4e559800b35004743c39318c90	4218076	released
6f04046c-f22a-4bd5-8d48-5d8eb5d9238f	240d992f-abd0-404b-bbf0-c1eb228f8b0b.rna_seq.augmented_star_gene_counts.tsv	508441575007d49f581f70ad84b0ef81	4193642	released
59ed7f0d-4697-4f76-aa7f-2193749fceaf	26334e9d-aeff-4cc0-b765-6e4ca6b3ccd1.rna_seq.augmented_star_gene_counts.tsv	dc701d86e4edc1f5c3400b73b396745f	4215392	released
894b3ae0-af8c-427f-b831-d39b6ec051c3	b72db4c8-b6fb-4ccd-98ca-97a297c67ece.rna_seq.augmented_star_gene_counts.tsv	93620d435f74946a06b27e59234602ca	4218605	released
f97a2faa-ea59-4780-891b-9422cff5203d	3f2dbe5f-d4b8-4065-972a-4e5dd832d283.rna_seq.augmented_star_gene_counts.tsv	782ea0901f9733f552f897fffb536492	4208918	released
0dcb7104-6222-4e8c-8ec0-c8857e192d8f	7840816b-ff3e-4f03-bed7-55e000cf786c.rna_seq.augmented_star_gene_counts.tsv	903d48502faee2e2d86c0c2aee27667e	4212994	released
c318e9f1-4212-4ca5-8f95-b1aee52823f2	57427565-f95e-4a81-b306-f7e0063d7a9a.rna_seq.augmented_star_gene_counts.tsv	382a25676e3bef8a396502307bb44d1e	4226303	released
9daf95e3-b9c5-40d0-972b-967216327cfa	921a88f1-283b-4da4-9870-46262ef49189.rna_seq.augmented_star_gene_counts.tsv	73887e0b1888733b69b44ad162d61fb8	4229380	released
f7e74f2b-437f-4501-b7da-623638a0ce06	0f21e256-ad28-44bd-a2b8-79bf5ce08a8d.rna_seq.augmented_star_gene_counts.tsv	de174a7bc7cdc76a797f3a4de3ff5aac	4216138	released
ed9bee2e-8a12-4788-afa0-df2e3dad0d26	cfc613ce-546e-4a77-a5b9-701bc88c5785.rna_seq.augmented_star_gene_counts.tsv	952c8784d81f2a6483e7b6b67b0ff652	4212250	released
28fce5a1-a731-442c-a2a8-13d29c89e7ca	42f19e19-1b77-449d-9ecc-e00c481351ff.rna_seq.augmented_star_gene_counts.tsv	9639cf7cf9fd99321f317cd74bea2a41	4218129	released
90e96d5a-1f7a-4463-ac54-498637303f4f	de01d1e1-d97c-4845-a63d-20d29880659e.rna_seq.augmented_star_gene_counts.tsv	7fe7bd6655ffa423642e9ef961b66a84	4234929	released
bb64f243-bf43-4266-84d9-24209bc06ab8	694a2d62-bb95-4f0f-9a22-0bf5f66df4bb.rna_seq.augmented_star_gene_counts.tsv	55b576cda6db3686e2396adab2acf70e	4215868	released
