gene_id	gene_symbol	log_cpm_variance
ENSG00000114374.13	USP9Y	9.783729029261783
ENSG00000272398.6	CD24	9.732561545130663
ENSG00000154277.12	UCHL1	9.697498204312044
ENSG00000223802.7	CERS1	9.697450065114612
ENSG00000146122.17	DAAM2	9.694339685747325
ENSG00000179314.14	WSCD1	9.686503514361915
ENSG00000136573.14	BLK	9.669658303351776
ENSG00000134817.10	APLNR	9.666640569483851
ENSG00000005513.10	SOX8	9.658672499459437
ENSG00000141639.12	MAPK4	9.654719469089468
ENSG00000067840.12	PDZD4	9.63144892213325
ENSG00000133454.15	MYO18B	9.62359614262161
ENSG00000186868.15	MAPT	9.611842309899272
ENSG00000167614.13	TTYH1	9.605234696550019
ENSG00000149557.13	FEZ1	9.589206945712288
ENSG00000198300.14	PEG3	9.57670246436775
ENSG00000128591.15	FLNC	9.566991374181317
ENSG00000105290.12	APLP1	9.5578031672715
ENSG00000108405.4	P2RX1	9.546657553527828
ENSG00000012124.17	CD22	9.514331021125853
ENSG00000007312.12	CD79B	9.505198225258003
ENSG00000101144.13	BMP7	9.485101631976072
ENSG00000133742.13	CA1	9.484387354012759
ENSG00000170075.9	GPR37L1	9.47761746902639
ENSG00000063660.9	GPC1	9.449193668733296
ENSG00000105855.10	ITGB8	9.43801259319909
ENSG00000158578.21	ALAS2	9.41827190025898
ENSG00000240694.9	PNMA2	9.403415015556147
ENSG00000137693.14	YAP1	9.37776637126487
ENSG00000184221.13	OLIG1	9.360627427613196
ENSG00000080573.7	COL5A3	9.345612828494547
ENSG00000177469.13	CAVIN1	9.33711540094341
ENSG00000087258.15	GNAO1	9.304804898038924
ENSG00000021300.14	PLEKHB1	9.276728135455182
ENSG00000177807.10	KCNJ10	9.261857257017839
ENSG00000189058.9	APOD	9.258258692020666
ENSG00000185818.7	NAT8L	9.241043735336246
ENSG00000107317.13	PTGDS	9.209975970992527
ENSG00000185686.18	PRAME	9.196481017368512
ENSG00000153064.12	BANK1	9.170056690240203
ENSG00000113594.10	LIFR	9.154807147409304
ENSG00000175745.14	NR2F1	9.143314243756427
ENSG00000135472.9	FAIM2	9.139096018627408
ENSG00000159217.10	IGF2BP1	9.13586054272566
ENSG00000142871.17	CCN1	9.11792310811916
ENSG00000050820.17	BCAR1	9.096031040314266
ENSG00000165443.12	PHYHIPL	9.09142174935811
ENSG00000104833.12	TUBB4A	9.074238027325872
ENSG00000115232.14	ITGA4	9.010127439389477
ENSG00000182272.12	B4GALNT4	9.007939963686923
ENSG00000131771.14	PPP1R1B	8.981936301429258
ENSG00000060718.22	COL11A1	8.955327766427045
ENSG00000061676.15	NCKAP1	8.939698356578969
ENSG00000078114.18	NEBL	8.93883378614368
ENSG00000100842.13	EFS	8.93691550990634
ENSG00000165478.7	HEPACAM	8.929570295057895
ENSG00000134121.10	CHL1	8.892535786681691
ENSG00000100167.20	SEPT3	8.889424660833392
ENSG00000182175.14	RGMA	8.886212011599726
