sample_id	input_file	UMAP1	UMAP2
SJAMLM7010951_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.4308211	-0.488914
SJAMLM7010952_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.29923934	-0.6867833
SJAMLM7010953_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.4180671	-0.4631564
SJAMLM7010954_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.17297393	-0.028073814
SJAMLM7010955_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.033528194	-0.68236536
SJAMLM7010955_R1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.011635995	-0.67339355
SJAMLM7010956_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.43135846	0.74800664
SJAMLM7010957_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.71110636	0.20966944
SJAMLM7010958_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.48974958	-1.8648499
SJAMLM7010959_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.004229956	-0.3293702
SJAMLM7010960_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.09479791	-0.5324584
SJAMLM7010961_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.9236221	-0.029199833
SJAMLM7010962_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.10437483	-0.009858716
SJAMLM7010963_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.6104694	-0.48951918
SJAMLM7010964_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.5053542	-0.07517791
SJAMLM7010_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.4969249	-1.941921
SJAMLM7011108_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.055214234	-0.35131136
SJAMLM7011108_D2	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.02877211	-0.44357637
SJAMLM7011109_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.4987033	-0.5471947
SJAMLM7011109_D2	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.48533493	-0.4854226
SJAMLM7011233_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.31925473	-0.19845101
SJAMLM7011234_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.44833803	-0.4382839
SJAMLM7011235_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-1.0939128	-0.11348164
SJAMLM7011236_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.5067227	-0.4319855
SJAMLM7011237_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.06755694	-0.5151522
SJAMLM7011238_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.2747128	-0.58395576
