sample_id	original_column	file_project	platform	source_file	missing_fraction	UMAP1	UMAP2
TARGET-20-PASCGR-10A	TARGET-20-PASCGR-10A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.0794933	8.637668
TARGET-20-PASJGZ-04A	TARGET-20-PASJGZ-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.7339317	8.347884
TARGET-20-PADZCG-09A	TARGET-20-PADZCG-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.4567792	8.466976
TARGET-21-PARNAW-15A	TARGET-21-PARNAW-15A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	5.6512184	-5.967467
TARGET-20-PARNZW-14A	TARGET-20-PARNZW-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.7341082	8.219041
TARGET-20-PARFIW-14A	TARGET-20-PARFIW-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.7007253	7.074079
TARGET-20-PANLLX-14A	TARGET-20-PANLLX-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.161261	8.289773
TARGET-20-PABLDZ-09A	TARGET-20-PABLDZ-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.432602	8.551852
TARGET-20-PARDMG-10A	TARGET-20-PARDMG-10A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.2498033	8.839055
TARGET-20-PANTWV-04A	TARGET-20-PANTWV-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.9010133	10.383315
TARGET-21-PARZIA-14A	TARGET-21-PARZIA-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.9026297	11.195835
TARGET-20-PAKERZ-14A	TARGET-20-PAKERZ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.1575365	8.414719
TARGET-20-PASIEP-09A	TARGET-20-PASIEP-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.0951738	8.704909
TARGET-21-PATKKJ-15A	TARGET-21-PATKKJ-15A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	5.543202	-5.8798876
TARGET-20-PASCFW-14A	TARGET-20-PASCFW-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.550289	7.243234
TARGET-20-PARIMT-14A	TARGET-20-PARIMT-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.8647466	8.193752
TARGET-20-PANLIR-09A	TARGET-20-PANLIR-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.0598083	8.4017105
TARGET-20-PARBTC-14A	TARGET-20-PARBTC-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.0881252	8.357602
TARGET-21-PARLSL-09A	TARGET-21-PARLSL-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.9343956	10.320942
TARGET-20-PANLIR-14A	TARGET-20-PANLIR-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.514492	7.2007675
TARGET-21-PASYEJ-14A	TARGET-21-PASYEJ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.99020994	10.870882
TARGET-21-PASIGA-14A	TARGET-21-PASIGA-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.8419857	11.151902
TARGET-21-PASTZK-14A	TARGET-21-PASTZK-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.6795522	11.256134
TARGET-20-PASCFW-09A	TARGET-20-PASCFW-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.126948	8.402223
TARGET-20-PAKSMZ-03A	TARGET-20-PAKSMZ-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.7138076	8.831114
TARGET-21-PATKKJ-14A	TARGET-21-PATKKJ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.5886881	11.324289
TARGET-20-PARSHM-14A	TARGET-20-PARSHM-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.616833	7.1348243
TARGET-21-PAMYMA-14A	TARGET-21-PAMYMA-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.2107913	10.548814
TARGET-20-PANLXM-14A	TARGET-20-PANLXM-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.6185198	7.143124
TARGET-20-PANDER-09A	TARGET-20-PANDER-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.4882661	9.657816
TARGET-20-PASJGZ-03A	TARGET-20-PASJGZ-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.4259593	9.751269
TARGET-20-PATKJB-09A	TARGET-20-PATKJB-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.7661974	8.012989
TARGET-20-PANYNR-04A	TARGET-20-PANYNR-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.6604304	8.342986
TARGET-20-PARUDL-03A	TARGET-20-PARUDL-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.0284104	9.132926
TARGET-21-PASDKZ-15A	TARGET-21-PASDKZ-15A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	5.6423616	-5.953617
TARGET-20-PATIAK-09A	TARGET-20-PATIAK-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.71841824	11.119202
TARGET-20-PAECCE-04A	TARGET-20-PAECCE-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.1402228	8.8376045
TARGET-20-PATJHJ-14A	TARGET-20-PATJHJ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.573761	8.520841
TARGET-20-PAKSMZ-10A	TARGET-20-PAKSMZ-10A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.8395743	8.734978
TARGET-20-PASGMZ-14A	TARGET-20-PASGMZ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.9080366	8.540545
TARGET-20-PATIAK-14A	TARGET-20-PATIAK-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-2.5988498	8.44087
TARGET-21-PANZLR-15A	TARGET-21-PANZLR-15A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	5.6737933	-5.983562
